command_id	command_category	command_note	command_description	latin keyboard layout	cyrillic keyboard layout
tag_cite_close	specific_html_tag	</cite>	Types the end of 'cite' tag	+{COMMA}{SLASH}cite+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}cite+{PERIOD}%{SHIFT}
tag_code_begin	specific_html_tag	<code	Types the beginning of 'code' tag	+{COMMA}code	%{SHIFT}+{COMMA}code%{SHIFT}
tag_code_start	specific_html_tag	<code>	Types the start of 'code' tag	+{COMMA}code+{PERIOD}	%{SHIFT}+{COMMA}code+{PERIOD}%{SHIFT}
tag_code_close	specific_html_tag	</code>	Types the end of 'code' tag	+{COMMA}{SLASH}code+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}code+{PERIOD}%{SHIFT}
voidTag_col_begin	specific_html_tag	<col	Types the beginning of 'col' tag	+{COMMA}col	%{SHIFT}+{COMMA}col%{SHIFT}
voidTag_col_def	specific_html_tag	<col/>	Types the whole 'col' tag	+{COMMA}col{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}col{SLASH}+{PERIOD}%{SHIFT}
tag_colgroup_begin	specific_html_tag	<colgroup	Types the beginning of 'colgroup' tag	+{COMMA}colgroup	%{SHIFT}+{COMMA}colgroup%{SHIFT}
tag_colgroup_start	specific_html_tag	<colgroup>	Types the start of 'colgroup' tag	+{COMMA}colgroup+{PERIOD}	%{SHIFT}+{COMMA}colgroup+{PERIOD}%{SHIFT}
tag_colgroup_close	specific_html_tag	</colgroup>	Types the end of 'colgroup' tag	+{COMMA}{SLASH}colgroup+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}colgroup+{PERIOD}%{SHIFT}
tag_datalist_begin	specific_html_tag	<datalist	Types the beginning of 'datalist' tag	+{COMMA}datalist	%{SHIFT}+{COMMA}datalist%{SHIFT}
tag_datalist_start	specific_html_tag	<datalist>	Types the start of 'datalist' tag	+{COMMA}datalist+{PERIOD}	%{SHIFT}+{COMMA}datalist+{PERIOD}%{SHIFT}
tag_datalist_close	specific_html_tag	</datalist>	Types the end of 'datalist' tag	+{COMMA}{SLASH}datalist+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}datalist+{PERIOD}%{SHIFT}
tag_dd_begin	specific_html_tag	<dd	Types the beginning of 'dd' tag	+{COMMA}dd	%{SHIFT}+{COMMA}dd%{SHIFT}
tag_dd_start	specific_html_tag	<dd>	Types the start of 'dd' tag	+{COMMA}dd+{PERIOD}	%{SHIFT}+{COMMA}dd+{PERIOD}%{SHIFT}
tag_dd_close	specific_html_tag	</dd>	Types the end of 'dd' tag	+{COMMA}{SLASH}dd+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}dd+{PERIOD}%{SHIFT}
tag_del_begin	specific_html_tag	<del	Types the beginning of 'del' tag	+{COMMA}del	%{SHIFT}+{COMMA}del%{SHIFT}
tag_del_start	specific_html_tag	<del>	Types the start of 'del' tag	+{COMMA}del+{PERIOD}	%{SHIFT}+{COMMA}del+{PERIOD}%{SHIFT}
tag_del_close	specific_html_tag	</del>	Types the end of 'del' tag	+{COMMA}{SLASH}del+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}del+{PERIOD}%{SHIFT}
tag_details_begin	specific_html_tag	<details	Types the beginning of 'details' tag	+{COMMA}details	%{SHIFT}+{COMMA}details%{SHIFT}
tag_details_start	specific_html_tag	<details>	Types the start of 'details' tag	+{COMMA}details+{PERIOD}	%{SHIFT}+{COMMA}details+{PERIOD}%{SHIFT}
tag_details_close	specific_html_tag	</details>	Types the end of 'details' tag	+{COMMA}{SLASH}details+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}details+{PERIOD}%{SHIFT}
tag_dfn_begin	specific_html_tag	<dfn	Types the beginning of 'dfn' tag	+{COMMA}dfn	%{SHIFT}+{COMMA}dfn%{SHIFT}
tag_dfn_start	specific_html_tag	<dfn>	Types the start of 'dfn' tag	+{COMMA}dfn+{PERIOD}	%{SHIFT}+{COMMA}dfn+{PERIOD}%{SHIFT}
tag_dfn_close	specific_html_tag	</dfn>	Types the end of 'dfn' tag	+{COMMA}{SLASH}dfn+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}dfn+{PERIOD}%{SHIFT}
tag_dialog_begin	specific_html_tag	<dialog	Types the beginning of 'dialog' tag	+{COMMA}dialog	%{SHIFT}+{COMMA}dialog%{SHIFT}
tag_dialog_start	specific_html_tag	<dialog>	Types the start of 'dialog' tag	+{COMMA}dialog+{PERIOD}	%{SHIFT}+{COMMA}dialog+{PERIOD}%{SHIFT}
tag_dialog_close	specific_html_tag	</dialog>	Types the end of 'dialog' tag	+{COMMA}{SLASH}dialog+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}dialog+{PERIOD}%{SHIFT}
tag_div_begin	specific_html_tag	<div	Types the beginning of 'div' tag	+{COMMA}div	%{SHIFT}+{COMMA}div%{SHIFT}
tag_div_start	specific_html_tag	<div>	Types the start of 'div' tag	+{COMMA}div+{PERIOD}	%{SHIFT}+{COMMA}div+{PERIOD}%{SHIFT}
tag_div_close	specific_html_tag	</div>	Types the end of 'div' tag	+{COMMA}{SLASH}div+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}div+{PERIOD}%{SHIFT}
tag_dl_begin	specific_html_tag	<dl	Types the beginning of 'dl' tag	+{COMMA}dl	%{SHIFT}+{COMMA}dl%{SHIFT}
tag_dl_start	specific_html_tag	<dl>	Types the start of 'dl' tag	+{COMMA}dl+{PERIOD}	%{SHIFT}+{COMMA}dl+{PERIOD}%{SHIFT}
tag_dl_close	specific_html_tag	</dl>	Types the end of 'dl' tag	+{COMMA}{SLASH}dl+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}dl+{PERIOD}%{SHIFT}
tag_dt_begin	specific_html_tag	<dt	Types the beginning of 'dt' tag	+{COMMA}dt	%{SHIFT}+{COMMA}dt%{SHIFT}
tag_dt_start	specific_html_tag	<dt>	Types the start of 'dt' tag	+{COMMA}dt+{PERIOD}	%{SHIFT}+{COMMA}dt+{PERIOD}%{SHIFT}
tag_dt_close	specific_html_tag	</dt>	Types the end of 'dt' tag	+{COMMA}{SLASH}dt+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}dt+{PERIOD}%{SHIFT}
tag_em_begin	specific_html_tag	<em	Types the beginning of 'em' tag	+{COMMA}em	%{SHIFT}+{COMMA}em%{SHIFT}
tag_em_start	specific_html_tag	<em>	Types the start of 'em' tag	+{COMMA}em+{PERIOD}	%{SHIFT}+{COMMA}em+{PERIOD}%{SHIFT}
tag_em_close	specific_html_tag	</em>	Types the end of 'em' tag	+{COMMA}{SLASH}em+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}em+{PERIOD}%{SHIFT}
tag_embed_begin	specific_html_tag	<embed	Types the beginning of 'embed' tag	+{COMMA}embed	%{SHIFT}+{COMMA}embed%{SHIFT}
tag_embed_start	specific_html_tag	<embed>	Types the start of 'embed' tag	+{COMMA}embed+{PERIOD}	%{SHIFT}+{COMMA}embed+{PERIOD}%{SHIFT}
tag_embed_close	specific_html_tag	</embed>	Types the end of 'embed' tag	+{COMMA}{SLASH}embed+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}embed+{PERIOD}%{SHIFT}
tag_fieldset_begin	specific_html_tag	<fieldset	Types the beginning of 'fieldset' tag	+{COMMA}fieldset	%{SHIFT}+{COMMA}fieldset%{SHIFT}
tag_fieldset_start	specific_html_tag	<fieldset>	Types the start of 'fieldset' tag	+{COMMA}fieldset+{PERIOD}	%{SHIFT}+{COMMA}fieldset+{PERIOD}%{SHIFT}
tag_fieldset_close	specific_html_tag	</fieldset>	Types the end of 'fieldset' tag	+{COMMA}{SLASH}fieldset+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}fieldset+{PERIOD}%{SHIFT}
tag_figcaption_begin	specific_html_tag	<figcaption	Types the beginning of 'figcaption' tag	+{COMMA}figcaption	%{SHIFT}+{COMMA}figcaption%{SHIFT}
tag_figcaption_start	specific_html_tag	<figcaption>	Types the start of 'figcaption' tag	+{COMMA}figcaption+{PERIOD}	%{SHIFT}+{COMMA}figcaption+{PERIOD}%{SHIFT}
tag_figcaption_close	specific_html_tag	</figcaption>	Types the end of 'figcaption' tag	+{COMMA}{SLASH}figcaption+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}figcaption+{PERIOD}%{SHIFT}
tag_figure_begin	specific_html_tag	<figure	Types the beginning of 'figure' tag	+{COMMA}figure	%{SHIFT}+{COMMA}figure%{SHIFT}
tag_figure_start	specific_html_tag	<figure>	Types the start of 'figure' tag	+{COMMA}figure+{PERIOD}	%{SHIFT}+{COMMA}figure+{PERIOD}%{SHIFT}
tag_figure_close	specific_html_tag	</figure>	Types the end of 'figure' tag	+{COMMA}{SLASH}figure+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}figure+{PERIOD}%{SHIFT}
tag_footer_begin	specific_html_tag	<footer	Types the beginning of 'footer' tag	+{COMMA}footer	%{SHIFT}+{COMMA}footer%{SHIFT}
tag_footer_start	specific_html_tag	<footer>	Types the start of 'footer' tag	+{COMMA}footer+{PERIOD}	%{SHIFT}+{COMMA}footer+{PERIOD}%{SHIFT}
tag_footer_close	specific_html_tag	</footer>	Types the end of 'footer' tag	+{COMMA}{SLASH}footer+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}footer+{PERIOD}%{SHIFT}
tag_form_begin	specific_html_tag	<form	Types the beginning of 'form' tag	+{COMMA}form	%{SHIFT}+{COMMA}form%{SHIFT}
tag_form_start	specific_html_tag	<form>	Types the start of 'form' tag	+{COMMA}form+{PERIOD}	%{SHIFT}+{COMMA}form+{PERIOD}%{SHIFT}
tag_form_close	specific_html_tag	</form>	Types the end of 'form' tag	+{COMMA}{SLASH}form+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}form+{PERIOD}%{SHIFT}
tag_h1_begin	specific_html_tag	<h1	Types the beginning of 'h1' tag	+{COMMA}h1	%{SHIFT}+{COMMA}h1%{SHIFT}
tag_h1_start	specific_html_tag	<h1>	Types the start of 'h1' tag	+{COMMA}h1+{PERIOD}	%{SHIFT}+{COMMA}h1+{PERIOD}%{SHIFT}
tag_h1_close	specific_html_tag	</h1>	Types the end of 'h1' tag	+{COMMA}{SLASH}h1+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}h1+{PERIOD}%{SHIFT}
tag_h2_begin	specific_html_tag	<h2	Types the beginning of 'h2' tag	+{COMMA}h2	%{SHIFT}+{COMMA}h2%{SHIFT}
tag_h2_start	specific_html_tag	<h2>	Types the start of 'h2' tag	+{COMMA}h2+{PERIOD}	%{SHIFT}+{COMMA}h2+{PERIOD}%{SHIFT}
tag_h2_close	specific_html_tag	</h2>	Types the end of 'h2' tag	+{COMMA}{SLASH}h2+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}h2+{PERIOD}%{SHIFT}
tag_h3_begin	specific_html_tag	<h3	Types the beginning of 'h3' tag	+{COMMA}h3	%{SHIFT}+{COMMA}h3%{SHIFT}
tag_h3_start	specific_html_tag	<h3>	Types the start of 'h3' tag	+{COMMA}h3+{PERIOD}	%{SHIFT}+{COMMA}h3+{PERIOD}%{SHIFT}
tag_h3_close	specific_html_tag	</h3>	Types the end of 'h3' tag	+{COMMA}{SLASH}h3+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}h3+{PERIOD}%{SHIFT}
tag_h4_begin	specific_html_tag	<h4	Types the beginning of 'h4' tag	+{COMMA}h4	%{SHIFT}+{COMMA}h4%{SHIFT}
